Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
278816,Lightning Charging Cable,1,14.95,11/8/2019 8:58,"925 5th St, New York City, NY 10001"
278817,USB-C Charging Cable,1,11.95,11/5/2019 23:25,"503 Chestnut St, Boston, MA 02215"
278818,USB-C Charging Cable,1,11.95,11/16/2019 22:12,"541 Johnson St, New York City, NY 10001"
278819,iPhone,1,700,11/4/2019 6:20,"880 Maple St, New York City, NY 10001"
278819,Apple Airpods Headphones,1,150,11/4/2019 6:20,"880 Maple St, New York City, NY 10001"
278820,USB-C Charging Cable,2,11.95,11/17/2019 15:11,"882 Walnut St, Portland, OR 97035"
278821,USB-C Charging Cable,1,11.95,11/25/2019 16:17,"327 13th St, Dallas, TX 75001"
278822,Bose SoundSport Headphones,1,99.99,11/20/2019 8:17,"816 Park St, Atlanta, GA 30301"
278823,AA Batteries (4-pack),1,3.84,11/29/2019 20:42,"234 9th St, Boston, MA 02215"
278824,27in FHD Monitor,1,149.99,11/8/2019 11:05,"677 Johnson St, Portland, OR 97035"
278825,Bose SoundSport Headphones,1,99.99,11/2/2019 0:35,"928 Wilson St, San Francisco, CA 94016"
278826,20in Monitor,1,109.99,11/26/2019 15:58,"532 Cedar St, Austin, TX 73301"
278827,Apple Airpods Headphones,1,150,11/1/2019 13:06,"305 Highland St, San Francisco, CA 94016"
278828,34in Ultrawide Monitor,1,379.99,11/12/2019 20:24,"470 13th St, San Francisco, CA 94016"
278829,iPhone,1,700,11/20/2019 22:19,"977 Johnson St, Los Angeles, CA 90001"
278830,USB-C Charging Cable,1,11.95,11/4/2019 13:28,"651 Hill St, Boston, MA 02215"
278831,Bose SoundSport Headphones,1,99.99,11/11/2019 12:37,"607 8th St, Los Angeles, CA 90001"
278832,Vareebadd Phone,1,400,11/10/2019 16:10,"783 12th St, San Francisco, CA 94016"
278833,iPhone,1,700,11/4/2019 10:34,"700 Pine St, San Francisco, CA 94016"
278833,Lightning Charging Cable,2,14.95,11/4/2019 10:34,"700 Pine St, San Francisco, CA 94016"
278834,Wired Headphones,1,11.99,11/7/2019 13:19,"792 9th St, Los Angeles, CA 90001"
278835,AAA Batteries (4-pack),1,2.99,11/13/2019 20:05,"302 Highland St, San Francisco, CA 94016"
278836,Wired Headphones,1,11.99,11/26/2019 20:48,"989 12th St, New York City, NY 10001"
278837,AA Batteries (4-pack),1,3.84,11/10/2019 16:05,"349 9th St, San Francisco, CA 94016"
278838,Flatscreen TV,1,300,11/12/2019 15:37,"835 Main St, San Francisco, CA 94016"
278839,Lightning Charging Cable,1,14.95,11/23/2019 11:16,"614 Church St, San Francisco, CA 94016"
278840,Bose SoundSport Headphones,1,99.99,11/23/2019 20:46,"490 Walnut St, Los Angeles, CA 90001"
278840,27in FHD Monitor,1,149.99,11/23/2019 20:46,"490 Walnut St, Los Angeles, CA 90001"
278841,USB-C Charging Cable,1,11.95,11/28/2019 9:07,"847 Dogwood St, San Francisco, CA 94016"
278842,AA Batteries (4-pack),1,3.84,11/6/2019 0:37,"487 Lincoln St, New York City, NY 10001"
278843,USB-C Charging Cable,1,11.95,11/7/2019 11:59,"435 Hill St, Portland, ME 04101"
278844,20in Monitor,1,109.99,11/24/2019 12:37,"944 Madison St, Los Angeles, CA 90001"
278845,Lightning Charging Cable,1,14.95,11/9/2019 11:46,"497 6th St, Boston, MA 02215"
278846,Lightning Charging Cable,1,14.95,11/25/2019 22:05,"84 1st St, Los Angeles, CA 90001"
278847,34in Ultrawide Monitor,1,379.99,11/12/2019 13:52,"903 Madison St, Boston, MA 02215"
278848,Flatscreen TV,1,300,11/23/2019 16:40,"140 West St, Austin, TX 73301"
278849,AAA Batteries (4-pack),1,2.99,11/16/2019 11:49,"984 Washington St, Seattle, WA 98101"
278850,USB-C Charging Cable,1,11.95,11/21/2019 14:25,"555 Cherry St, San Francisco, CA 94016"
278851,Apple Airpods Headphones,1,150,11/8/2019 19:49,"687 Maple St, Los Angeles, CA 90001"
278852,AAA Batteries (4-pack),1,2.99,11/12/2019 16:53,"998 Hill St, Seattle, WA 98101"
278853,AAA Batteries (4-pack),1,2.99,11/20/2019 19:01,"591 Washington St, San Francisco, CA 94016"
278854,27in 4K Gaming Monitor,1,389.99,11/4/2019 0:24,"952 Dogwood St, Portland, OR 97035"
278855,AA Batteries (4-pack),1,3.84,11/21/2019 21:32,"193 Maple St, New York City, NY 10001"
278856,Apple Airpods Headphones,1,150,11/10/2019 22:27,"788 North St, New York City, NY 10001"
278857,USB-C Charging Cable,1,11.95,11/30/2019 15:37,"150 Wilson St, Los Angeles, CA 90001"
278857,AAA Batteries (4-pack),2,2.99,11/30/2019 15:37,"150 Wilson St, Los Angeles, CA 90001"
278858,USB-C Charging Cable,1,11.95,11/16/2019 13:23,"690 Spruce St, San Francisco, CA 94016"
278859,27in FHD Monitor,1,149.99,11/21/2019 22:29,"30 West St, Dallas, TX 75001"
